dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
9.00E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,16,2,16,16,16,16,0,0,0,18,16,0
0.917294,tcp,-,FIN,14,12,1414,678,27.254075,254,252,11451.07227,5424.650879,4,4,70.561079,74.754547,3723.788624,96.043711,255,2981405710,866236881,255,0.136706,0.094667,0.042039,101,57,0,0,6,1,2,2,2,5,0,0,0,2,5,0
6.00E-06,udp,dns,INT,2,0,114,0,166666.6608,254,0,7.60E+07,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,57,0,0,0,34,2,16,16,16,34,0,0,0,16,34,0
0.657201,tcp,ftp,FIN,14,12,1704,846,38.040113,254,252,19269.59961,9446.121094,4,4,48.795537,57.041453,2638.554561,67.610031,255,279061523,1333101753,255,0.061983,0.029736,0.032247,122,71,0,0,1,1,1,1,1,1,0,0,0,1,1,0
2.145946,tcp,-,FIN,12,10,994,810,9.785894,254,252,3399.89917,2717.682617,3,2,195.026097,216.429781,11163.39368,357.276875,255,682078330,56850645,255,0.287869,0.198075,0.089794,83,81,0,0,2,1,1,1,1,2,0,0,0,1,2,0
0.389659,tcp,http,FIN,10,6,914,268,38.495198,254,252,16896.82617,4598.893066,2,1,43.295444,71.681203,3377.77955,140.955688,255,3183778058,1489903327,255,0.047877,0.024462,0.023415,91,45,1,0,1,1,15,1,1,22,0,0,1,15,1,0
59.994381,arp,-,INT,2,0,92,0,0.016668,0,0,6.133908,0,0,0,59994.38,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1
9.00E-06,udp,-,INT,2,0,78,0,111111.1072,254,0,34666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,39,0,0,0,11,2,3,1,1,7,0,0,0,2,8,0
0.76758,tcp,-,CON,6,2,986,86,9.119571,62,252,8567.185547,448.161774,2,1,153.516,0.003,9248.793873,0,255,3287958081,2274278825,255,0.641889,0.542708,0.099181,164,43,0,0,6,3,2,2,1,6,0,0,0,3,5,0
1.00E-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,4.56E+08,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,57,0,0,0,25,2,9,9,9,25,0,0,0,9,25,0
8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,5.70E+07,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,20,2,17,17,17,20,0,0,0,17,20,0
8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,5.70E+07,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,19,2,14,14,14,19,0,0,0,14,19,0
1.00E-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,4.56E+08,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,57,0,0,0,27,2,23,23,13,27,0,0,0,23,27,0
59.969936,arp,-,INT,2,0,92,0,0.016675,0,0,6.136408,0,0,0,60000.692,0,28.73793,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1
5.00E-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,57,0,0,0,30,2,30,30,17,30,0,0,0,30,30,0
0.278172,tcp,http,FIN,10,8,776,1722,61.113271,62,252,20102.67188,43340.09375,2,2,30.908,34.339,1681.137955,56.695027,255,3149763890,2855218709,255,0.092273,0.021345,0.070928,78,215,1,453,1,1,1,1,1,1,0,0,1,18,1,0
3.00E-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,100,0,0,0,5,2,4,2,2,8,0,0,0,4,5,0
8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,5.70E+07,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,34,2,34,34,16,34,0,0,0,34,34,0
1.50943,tcp,http,FIN,10,10,792,1150,12.587533,62,252,3778.909912,5485.51416,2,2,167.714444,152.243328,9508.716029,257.782078,255,2491606582,392196422,255,0.229218,0.13844,0.090778,79,115,1,129,4,1,2,2,2,4,0,0,4,3,4,0
7.153545,ospf,-,INT,20,0,900,0,2.656026,254,0,956.169312,0,0,0,376.502375,0,414.729344,0,0,0,0,0,0,0,0,45,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0
1.00E-05,udp,dns,INT,2,0,114,0,100000.0025,254,0,45600000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,57,0,0,0,34,2,13,13,8,34,0,0,0,14,34,0
0.345336,tcp,http,FIN,10,6,996,268,43.435959,254,252,20779.76367,5189.149414,2,1,38.272111,60.948199,1870.902997,74.716203,255,3784976043,124853170,255,0.077812,0.040575,0.037237,100,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0
5.00E-06,ipx-n-ip,-,INT,2,0,200,0,200000.0051,254,0,1.60E+08,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,100,0,0,0,6,2,2,2,2,6,0,0,0,2,6,0
9.00E-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,2,2,2,2,3,0,0,0,2,3,0
5.257499,tcp,-,FIN,78,416,3606,537649,93.770818,62,252,5417.023926,816140.125,6,206,68.279211,12.484207,4345.123849,1853.881596,255,2932027325,3284858197,255,0.103926,0.056182,0.047744,46,1292,0,0,1,1,1,1,1,1,0,0,0,1,1,0
0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.632,0,15.492015,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1
1.7821,tcp,smtp,FIN,48,24,40904,1818,39.840638,62,252,179796.875,7824.477051,21,8,37.917021,73.512352,2744.07891,91.665648,255,2430456509,2992371159,255,0.129837,0.051812,0.078025,852,76,0,0,1,1,1,1,1,1,0,0,0,1,1,0
