battery percentage: ,power plugged ,time left: 
50,False,1193046:28:15
12450.28125,1136566.0,452.96875
50,False,1193046:28:15
12450.328125,1136574.0,452.96875
50,False,1193046:28:15
12450.421875,1136581.9375,452.96875
50,False,1193046:28:15
12450.484375,1136589.984375,452.984375
50,False,1193046:28:15
12450.546875,1136597.890625,452.984375
50,False,1193046:28:15
12450.609375,1136605.890625,452.984375
50,False,1193046:28:15
12450.625,1136613.96875,453.0
50,False,1193046:28:15
12450.671875,1136621.90625,453.0
50,False,1193046:28:15
12450.953125,1136629.59375,453.0
50,False,1193046:28:15
